date,produced,mining.value,destroyed
2019-08-06,3600571444214.9927,939151157139.0582,1017771021959.15
2019-08-07,3425150624688.471,963467604824.6602,1186021622612.42
2019-08-08,3681457761095.494,994126518403.404,1079721005853.9
2019-08-09,4421567894948.549,954828244783.0785,1142531867348.41
2019-08-10,3553452897658.969,1016291708531.3461,2135437115584.38
2019-08-11,3774219128385.132,1270003648959.1265,1693178014752.32
2019-08-12,3135586711296.651,916907364801.5166,899927738418.63
2019-08-13,3466149536079.7407,1030203131313.2727,1056671952677.61
2019-08-14,3343489648769.948,959239230427.757,1114344412416.45
2019-08-15,3551683847535.368,930085326898.4501,1111378442652.56
2019-08-16,3299800208779.5503,921046307659.9298,878636721656.06
2019-08-17,3895292507440.9644,,1724256099252.81
2019-08-18,3411420738617.3164,1073266233741.7266,1633853488569.58
2019-08-19,3558809417684.7056,915098161880.7319,1025001974305.82
2019-08-20,3299322761713.212,,2233543769530.59
2019-08-21,3357078487570.037,,1307172030837.44
2019-08-22,3563255658022.5405,911850043321.4299,1057264765733.71
2019-08-23,3092150172246.9463,929173841203.1644,1126795126595.06
2019-08-24,3404799146167.029,1001635513867.2585,1583797944969.45
2019-08-25,3735033090814.678,1178630106426.3167,1705159077025.54
2019-08-26,3397477069811.499,917151680656.7054,908799962445.89
2019-08-27,3505197350527.235,,910728505928.38
2019-08-28,3661733712212.2773,904910333656.7418,961410235722.54
2019-08-29,2744858563201.39,838638465144.7957,832584189887.37
2019-08-30,3138347988089.3257,809322343326.9067,902918175329.16
2019-08-31,2970004659797.042,960692663690.7358,1477386592604.59
2019-09-01,3536809477504.814,1061600955179.7119,1230870357591.77
2019-09-02,2962511093265.0913,,1536197568902.86
2019-09-03,3496989292587.6157,,1017712495524.77
2019-09-04,2943274953534.239,878311475483.7062,784878503986.7
2019-09-05,2866722175172.8022,966670638195.9797,804734154395.05
2019-09-06,2816316034567.3853,881995945733.4171,808601804595.28
2019-09-07,2775372792503.636,974201930763.0093,1639694372736.1
2019-09-08,3161976391803.6445,898450830673.2059,1421350544869.3
2019-09-09,2937405983716.382,831804324020.1783,823035172969.81
2019-09-10,3018309178986.965,,937625730626.26
2019-09-11,2744038203137.733,727859538079.8843,833775381614.17
2019-09-12,3009048478431.6465,741747201343.4424,1001466307130.49
